,"1 if yes, 0 if no","1 if yes, 0 if no",Comments or Questions,
"Using technology to manage the health of fleets (to save money on repairs), to provide information on where parking is actually available (not theoretically available), to manage the health of drains, make internet affordable and easily accessible to all (like Chattanooga did), monitoring and optimizing traffic flow via the use of monitoring and altering traffic lights, monitoring wastewater for disease vectors, solar to electric charging stations (for vehicles and personal devices), noise level monitoring, sensors to prevent over-/under watering of landscape and Food Bank farms, energy management, telehealth initiatives, wifi on buses for long commutes, solar, solar, and more solar energy - not just in farms, but on city buildings, as cover for open parking lots, discounts for citizens, better management of the local electric and water grids, disaster preparedness and communication, better and more convenient bus lines, making local libraries about more than books and wifi connectivity - making them neighborhood hubs of government and better living, tele-mental health counseling/services, better data quality (input controls) so that government can actually USE the data they have to improve services and make better decisions, software systems that actually integrate with one another to save staff time/money and improve data quality, sensors to make buildings function better and to promote green spaces on buildings (auto-watering, concrete moisture levels, etc.), promoting roof-top gardens if solar isn't being installed, monitoring of urban bee-keeping hives for infestation/collapse indicators. Let's get creative!!!",1,1,,
NA,0,0,,
Being more up to date with technology for not only bigger businesses but small startups too,1,1,,
Productive & resilient,0,0,,
A City that takes good care of its infrastructure and its employees.,0,0,,
"Una ciudad intelegente no es solo en teconologia, sino en cambiar conductas, ejemplo como educacion avanzada accesible para todos para ser mejores ciudadanos y cumplir con nuestro deber civil, social y moral, para un futuro y generacion mas responsable y preparada.",0,0,,
"Well connected city that functions like a clock.  Alerting, timely and with many parts working together.",0,0,,
"I think of traffic that moves smoothly, city transportation that is more available and construction projects that are conducted during the least disruptive times of the day.",0,0,,
everything Tech,1,0,,
"communication- traffic lights, vehicles, emergency vehicles, public trans, and even bus stop all communicating with one another to become more efficient. ",1,0,,
The city working smarter not harder,0,0,,
M‡s desarrollado,0,0,,
An evolving city that adapts to changes to meet the citizen's needs.,0,0,,
No answer,0,0,,
San Antonio Texas,0,0,,
"internet access in public spaces.  No more paper form, can all be done online",1,1,,
Technology within city,1,0,,
Advanced Technology / or people using their brain for the greater use,1,0,,
"A connected, data-driven city where things are done more efficiently because of the use of data.",0,0,,
Que ayudan en todo momento a la ciudadan’a en todo y con todo tipo de tecnolog’a nueva,0,0,,
Affordable internet access for all citizens,1,1,,
The overuse of technology to solve problems.,1,0,,
"Better technology, greener cities, more parks, more employment.
",1,0,,
"Having wifi access in public spaces, charging stations around the city, and electrical solar power sources",1,1,,
M‡s accesible,0,0,,
The ability to connect with services in the easiest and more efficient way.  Being able to commute throughout the city easily.  Being on the cutting edge of technology.,1,1,,
A green city with a lot of alternatives for electricity,0,0,,
Hoping not a rabbit hole that ends up being expensive and a waste of time.,0,0,,
que se termina todo tipo de programas y menos accesibilidad a intermet.,0,0,,
"A city that operates like a smart home - services come on when certain conditions are met (highway lighting flashes when pedestrian activity detected, or 5 closest available police units are automatically notified when a vehicle enters the highway going the wrong direction)",1,0,,
"Planning for transportation needs, securing environmental safety, and engaging citizens across the city rather than in small pockets by tying together transportation, trail systems, and volunteerism.",0,0,,
Not Us,0,0,,
Wifi around the city.,1,1,,
Adaptable for individuals with wheelchairs,0,1,,
internet access all over city and able to conduct business on line for government services,1,1,,
"More money and increasing the digital divide for current residents without basic, quality access.

It would be great if the city could correct the existing problems first before venturing into something that tends to only benefit those with the means to participate.",1,1,,
"Progressive efforts for the city to become more environmentally friendly, sustainable, and safe, and taking advantage of technologies to make this happen.",0,0,,
Many places have access to internet.,1,0,,
Communication,0,0,,
Public Transportation like Tokyo or Seoul. Greenspace like the Amsterdam. Less car-dependency like Mackinac Island. Safety like Singapore.,0,0,,
"Modern public transportation, universal access to the internet ",1,0,,
"Addressing issues noted above with technology and monitoring to prioritize areas in greater need also using data from the City Equity Atlas, SA River Authority's water quality and flood plain mapping, and other data that exists (EAA, TPWD, USGS). ",1,1,,
More automation and energy conservation.,1,0,,
Having the homeless and mental illness situation solved,0,0,,
"a city with multiple wireless services,  a clean green city. ",1,1,,
High technology that can answer your questions verbally and direct you to where you need to go.,1,0,,
talking information boards on sidewalks and  free internet access,0,1,,
Using the most current and safest access to technology and public transporation systems.,1,0,,
clean and safe,0,0,,
"The restructuring of a city as an interconnected unit instead of separate, but equal entities. It means considering best solutions for an area over what will appear superficially impressive to visitors. This would mean prioritizing public transport funds in areas where residents who don't own cars receive improvements to public transit that will connect them to the city center first. Over say building it starting in downtown and then moving outward. Downtown holds the richer residents who are unlikely to not use cars, so to reduce traffic congestion build a road separate elevated transport network makes better sense.
The same can be applied to housing and the parks system as well. An open vote system would reveal this far more effectively than city meeting's where only elderly NIMBY's can attend.",0,0,,
Keeping up with current changes. Especially in the tech area.,1,0,,
"Convenience, relevant info at my finger tips. ",0,0,,
A city that embraces technology and creates more opportunity for others.,1,1,,
a city using smart technology and moving with the times,1,0,,
A well planned city where building permits of new homes are properly managed based on the infrastructure.,0,0,,
Trees,0,0,,
Government control,0,0,,
Technology being used in a positive way.,1,0,,
Eco friendly that also uses technology,1,0,,
Cities that use data-driven decisions to develop and make decisions.,1,0,,
"When I see the term Smart Cities i think about how San Antonio could become a Smart City by improving on the historic buildings, not overloading the streets with constriction all at the same time (allow some time for different areas not at the same time). ",0,0,,
"infrastructure upkept and well maintained. (roads, bridges, public transport, power grid)",0,0,,
"The term ""Smart Cities"" is synonymous with Government overreach and invasion of privacy, taking away rights of private citizens.  The Government has no authority or right to say how cool my house is, or when I can water my lawn.   ",0,0,,
electric cars,1,0,,
El Paso,0,0,,
less pollution,0,0,,
A city integrated with technology that useful to all,1,1,,
Digitally connected services and information for all citizens.,0,1,,
Technologically advanced city.,1,0,,
cities who have ways to save electricity,1,0,,
Government intrusion,0,0,,
Expensive or raised rent. I moved from Austin because of the inability to afford living there with my children,0,0,,
"Ease of access to information, ease of navigation to city services - if we are a ""smart"" city, our residents/customers can quickly find what we offer as a city and how we can quickly help to address their needs",0,1,,
Internet connected access to services,1,1,,
IÕm not sure. A city where technology is accessible and encouraged.,1,1,,
"Data, efficiency, participation, engagement, and understanding just to start.",0,0,,
Smart planning/ environment for all,0,0,,
Incorporate technology in all functions,1,0,,
"The term ""smart cities"" conveys the idea that a city is planned/designed with a purpose.  Things like services, parks, downtown center, are designed with a purpose and to encourage/discourage certain things.  ",0,0,,
Smart Cities to me tells me that the city is equipped with resources at your fingertips for those needing help or value information.,0,0,,
Highspeed WiFi throughout the City.,1,1,,
Cities using data and technology to understand people's needs to then drive further technology innovation back into the community.,1,0,,
EEfficient use of resources,0,1,,
"A municipality that utilizes new technologies, both hardware and software, to solve issues and improve daily life for the public. ",1,0,,
Better Urban Planning.,0,0,,
More technology.,1,0,,
Using innovation terms on how to make the city services and resources more effective as well as accessible to the public.,0,1,,
"Green/energy efficient buildings, less downtown traffic because there is more public transportation, and information hotspots.",0,1,,
Cities that are using their financial resources in a useful way.,0,0,,
"Up to date technology, fast internet such as google fiber, easy access to city services. ",1,1,,
"Remote Work for people whose work is all over the computer and dont have in-person patient/ client interactions. The city emphasizes Climate Action Change and puts out notices of Ozone action days, but its hypocritical when they obviously contribute to that pollution. Instead of spending who knows how much money into remodeling City Tower, they should invest their money in remote work or pay increases. It is the smartest thing to do and makes employees happy, improves home/work balance, and helps decrease pollution.
If its HIPPA related work, there are VPNS that can be used. There are many companies that deal with private information who are able to work from home.

I guess that makes too much sense to be implemented.  ",0,0,,
"Flying cars,lots of Electronic devices,lots of tall buildings,less polution,no terrorist,no drugs",1,0,,
"The ÒidealÓ cities, with no litter, no hobos, and no trap houses on every turn",0,0,,
Not San Antonio,0,0,,
"More trains, trams, metros and less individual cars; downtown restricted so no driving and instead includes cool shade structures that are also solar arrays which would power fans on the street and such; smart info signs downtown to direct transportation options and tourist info; mostly it is just less individual vecs downtown and more alternative energy production ",1,1,,
Smart cities are cities that are moving to be help reduce CO2 transmission and help the city have clean air and water.,0,0,,
Innovation is a priority to enhance quality of life.,1,0,,
Free internet and green initiatives,1,1,,
"The first thing is more QR codes, easier to find answers to things when you're out- not to mention great for tourism. As for the real definition of the word, a smart city uses funding wisely, for the good of all, and with access to everyone- not just to those who can afford it.",1,1,,
"Thinking of future problems, not current solutions",0,0,,
Equal access to emerging technologies for all in the community,1,1,,
"An interconnected city: residents digitally connected to services and government, and city connected to neighboring cities/regions through public transportation (railways, busses, carpooling etc.), exchange of goods and data. An interconnected and resilient city. ",1,1,,
Resilience / but also leveraging technology to create more accesible information for the population. Making it easier for residents to participate in the public policy process.,1,1,,
"Access to easy public transportation, accessible routes, bike lanes, safe open public green spaces in all neighborhoods. ",0,1,,
Better quality of life for residents.,0,1,,
"That there's a lot of brilliant people working together to build lasting, scalable models of equity and sustainability within our communities.",1,1,,
Growth potential,0,0,,
"The culture mix of people, the bond of being in Texas ",0,0,,
"To possibilities
We love in a major city and pilot new ideas",0,0,,
N/a,0,0,,
Growing,0,0,,
The growth and development,0,0,,
Vegan options in schools and restaurants and non GMO and chemical free air.,0,0,,
"San Antonio has a lot of potential and can be a progressive, inclusive, and sustainable city with the right planning. ",0,0,,
Not much right now,0,0,,
"How so many other out of town visitors love the city that we call home and find so much interest and fascination! It can only continue to serve San Antonio and the locals, I hope.",0,0,,
"All of the growth in housing, and school funding. Helping the middle class succeed",0,0,,
Where our technology is popping up,1,0,,
Being better city,0,0,,
Quiet city and welcoming,0,0,,
Saber que San Antonio es muy seguro,0,0,,
"What most excites me is the rate at which the city is adopting new technologies. If San Antonio can become a tech center for the future, Silicon Valley and Fortune 500 companies will take notice and help to modernize the city and provide lucrative jobs.",1,0,,
Having technology driven kids,1,0,,
Esports.,1,0,,
"The options the future has to learn and grow
  ",0,0,,
"The openess for change, i.e better transport and greener spaces ",1,0,,
IÕm not sure. ItÕs seems like we are growing so fast. IÕm not sure  we are able to keep up.,0,0,,
"Expanding the public transportation of the nest 20 years.  Reducing the number of ""big trucks"" being used for personal use on the road.  Rant - One person in a big truck using lots of gas and poluting the environment.  We should have begun reducing carbon emissions in 1980.
",1,0,,
The role technology will play in the advancement of SA.,1,0,,
Rapid growth to come with the advantage of seeing what other big cities have failed to do.,0,0,,
"A globally recognized city known for innovation, quality of life and a place where it is fun to be a young person!",1,0,,
"Economic growth, strong demographics and the opportunity to shape the influence those will have.",0,0,,
Opportunity to capitalize on growth to enhance opportunities and the existing cultural fabric of the city.,0,0,,
Growth,0,0,,
We have the potential to be great. We just have to prioritize what it means to be great.,0,0,,
The youth/new generation.,0,0,,
"Opportunity to leverage our geo position to bring business to SA, continue to provide opportunities to all communities to create a career in SA longterm ",0,0,,
The potential to create a metroplex  with the surrounding cities similar to DFW.,0,0,,
Low cost of.living and willingness to.invest in startups,0,0,,
Being able to develop true to our culture- being a city that cares about livelihoods of San Antonians more than economic wealth for the sake of wealth. We have Austin as a cautionary tale and we have the opportunity to be a leader in environmental and cultural wealth for the benefit of San Antonians without trading our authenticity.,0,0,,
The energy and focus on business startups.,0,0,,
Growth and the chance to build up tech in an informed manner by learning from the successes and mistakes of other large metro areas.,1,0,,
Growth and opportunity,0,0,,
"Nothing , the city seems to be going backwards. IÕm excited for the future generations to vote the current people out and actually see change",0,0,,
Growth of business and population,0,0,,
"The support of small business owners will go far to help the city have its uniqueness, we donÕt wanna be the next Austin, or large metro like Houston or Dallas, we are a friendly, military, mom &pop/ private owner supporters, letÕs stay that way! ",0,0,,
Growth in solar power,1,0,,
People invested in our duty,0,0,,
I am mostly anxious about San Antonio being livable in 30 years with climate change. I think we have the potential to be completely carbon neutral with solar and wind power. We could focus on real transit solutions like rail and increase our tree cover to make walking around the city a true pleasure to experience the great cultural diversity we have in this beautiful city.,1,1,,
Willingness to explore things like technology and environmental improvements,1,1,,
Hoping it becomes more Special Needs friendly - There are no programs to serve child care needs of the Special Ones.,0,1,,
Technology.,1,0,,
I love SA but wish it would quite growing. We donÕt want to become Austin/Dallas or Houston,0,0,,
The growth opportunities and the sense of community.,0,0,,
What is exciting is the fact that the city seems to be  growing in popularity and  is becoming more popular with corporations and thus leading to good jobs and a great place to live and work,0,0,,
Better Government representation and not GREED!,0,0,,
A hopeful reduction in crime.,0,0,,
opportunities for more efficient transit and a more walkable city,0,1,,
Better traffic management,0,0,,
Greg Abbott and Ted Cruz not holding any sort of influence in Texas.,0,0,,
The opportunity to do better than some other cities have.,0,0,,
Seeing it grow into a more efficient community that is green,0,0,,
"San Antonio is rapidly growing, which means it's prime time to make large changes in infrastructure!",0,0,,
"More EV charging stations, preferably Level 3 fast chargers. We only have 2 in the city.  ",1,1,,
Small technology businesses,1,0,,
The potential to do great things.,0,0,,
Nothing right now,0,0,,
The growth of organizations like SA Speak up,0,0,,
Haven't seen much that excites me. The crippling car dependency will significantly harm the finances of the city when the infrastructure reaches end of life and it becomes obvious that the tax base cannot afford to maintain the sprawl. We must make good economic decisions and invest in smart infrastructure.,0,1,,
"Downtown revitalization, a greener future, and functional public transportation.",0,1,,
"New entertainment , art facilities and skilled job growth. ",0,1,,
Moving to a less car dependent city would excite me the most about the future.,0,1,,
"We have an opportunity to learn from the mistakes of Austin, where so many people simply can't afford to live, nor do they want to live.  The city has lost what made it a great place.  We have to avoid that in SA because without the culture what are we?  Embrace our roots, avoid pricing people out, prevent the pollution and traffic problems that come with growth.  Don't turn us into Houston!  haha",0,0,,
cultural vibrancy and diversity,0,0,,
"The growth of the city provides many opportunities, and challenges, to provide more socioeconomic benefits for the citizens.",0,0,,
Uncertain. Too many illegal immigrants at the moment.,0,0,,
"Learning from sister cities to improve public transportation, grow our economy, boost tourism, all while maintaining our strong culture and traditions.",1,1,,
"Creating a vibrant city built around the people who live there, not cars",0,1,,
Right now not feeling excited about the future of SA,0,0,,
"There is a unique growth of manufacturing and industrial investment combined with growth in the tech scene (start ups, tech poet, capital factory) as well as a cost of living and diversity that has the promise to address diversity in all growth areas. It is exciting to be here and play a small part in this growth.",1,1,,
I love this city. I love itÕs history and culture. I hope it will invest in rail transportation and a bigger airport immediately. SATX and Austin are going to be as big as DC-Baltimore-Richmond in 5-10 years.,0,1,,
Opportunity to become a Blue Zone or like public health project - must take care of safety first though as people have to feel safe to get outside and exercise. Even areas long considered safe places to do that have begun to experience high crime,0,1,,
"Living here 4 years, growth and possibility of public transport",0,1,,
Better public transportation.,0,1,,
"We need rail. Not just in rich areas or poor or near sporting areas. Across the city. And not Tesla's stupid tunnel for their cars only. Fewer cars, more people should be the goal. Which will improve the environment, the cost of living, and employment.",1,1,,
Rejuvenation of downtown.,0,0,,
The potential for public transportation to enhance the experience of getting around the region.,0,1,,
Possibility of a rail network,1,0,,
Seeing infrastructure development. the city is growing so fast but also further and further away,0,0,,
"I'm seeing less lawns, more native plants, increased adoption of solar, fiber internet service",1,0,,
"Our future as a fast growing, diverse, compassionate and responsible city",0,0,,
Possibly faster transit to Austin,1,0,,
Rail way system,1,0,,
The peoples need for better transportation and housing closer to the center of the city.,0,1,,
"It's a growing city, but the youth require more collaborative thinking with more sustainable options, and we need to provide that.",0,0,,
"There are people who support creating a thriving, safe and innovative San Antonio. I love this city and the community is unmatched- but we need to focus resources on the most vulnerable  and continue to support each other. ",0,0,,
The ability for us to become a large tech hub and take care of other San Antonians.,1,0,,
City infrastructure,0,0,,
Green initiates and public transportation efforts,1,0,,
"The possibility to change how we design our infrastructure to better accommodate for the weather we have, while still providing those growth opportunities for those that want it.  ",0,1,,
"Separate lanes to include pedestrians, wheelchairs, and bicycles, similar to those in Europe (Amsterdam.) ",0,1,,
"Improved public transportation, and people seem to care more about parks, public transportation, and the overall pattern of urban development and planning.",1,1,,
improvements to downtown and impoverished neighborhoods,0,1,,
Our park system,0,0,,
the untapped potential of its human capital,0,0,,
Not much to be honest.  Once our kids graduate high school we are probably moving to a city where it's possible to get around without a car.  Will certainly miss the food!,0,0,,
IÕm excited for it to grow as a cultural and community oriented city and have the infrastructure to enable that growth!,0,1,,
The spurs,0,0,,
Less driving please,0,0,,
"I'm excited about plans to make San Antonio more walkable and bikeable, and to improve housing costs",0,1,,
"Economic growth / diversity. While SA is undergoing explosive growth, I hope the city is looking into preserving green spaces for our animals / environment / leisure",0,1,,
Hopefully light rail,1,0,,
Job growth,0,0,,
Lots of green space and beautiful parks. One day I would like to see  high speed rail to Austin.,1,1,,
"The growth of the city, now letÕs make it more accessible!",0,1,,
Our historical past and multi-cultural future. We can build things better because we have the local know-how.,0,0,,
A growing city continues to grow but still maintains its culture of lifting up everyone to be successful,0,0,,
"Nothing. This city needs so much work from top to bottom. If I had to say anything, I guess ÒpotentialÓ to be something. Something other than what it is now. ",0,0,,
more busses,1,1,,
Evolving the future today for our generations of tomorrow.,0,0,,
Actually it scares me that we will become the next Austin or San Francisco that so many locals will get pushed out by rich people moving here and driving up prices.,0,0,,
San Antonio is growing very quickly. We must have better public transportation to support this. It is obvious by now that adding another lane to interstates or highways is not enough. We need a railway system within the city. We also need a cleaner city. There is too much garbage along the sides of the roads and it causes accidents.,0,1,,
Forward thinking initiatives like this to help the city attempt to keep up with AustinÕs corporate growth,0,0,,
City has been doing great job improving parks and recreational areas. I like how itÕs going so far!,0,1,,
"To be honest, I am worried.  Mostly about water.  I don't understand why there is so much emphasis on growth when we face water restrictions every summer and we see what is happening out west (Lake Mead).  Can technology make water?    So whatever, technology can do to reverse the effects of climate change I'm all for.  I believe a light rail system would help ease our dependence on cars at least.",1,1,,
Not driving and drinking at fiesta. I dream of taking a train home.,1,1,,
"If our wonderful hometown could take itself more seriously when it comes to improving its infrastructure and acting more like a Top Ten Most Populous city instead of a ""big small town,"" my excitement will return and grow once again.",0,0,,
As a San Antonio native who has come back home after obtaining a Master's Degree in social work in DC I realized I missed the family feel and rich culture that we have but there a major shock in the difference of core services that help offset issues stemming from what we're lacking. We're a strong community that will continue to improve that is most exciting to me.,0,0,,
The growth and diversity,0,0,,
Opportunity,0,0,,
Rail and public transit that actually functions,1,0,,
The city is growing and with that there are more opportunities available. But itÕs super important that the cost of living remains lower than in other cities,0,0,,
The cityÕs growth and tax base will enable it to fund projects many cities couldnÕt take on,0,0,,
"The collapse of big business and the subsequent green city of ""rivers"" and trees rather than concrete and billboards.",0,0,,
"The room for improvement. As the city grows, there are changes that must be made to support the growing community. IÕm hopeful that the city will address issues in a meaningful and beneficial way for all residents.",0,0,,
"RAIL SYSTEM BETWEEN HERE AND DALLAS, STOPPING IN AUSTIN. ",0,0,,
The possibility of leading the charge in renewable and sustainable energy,1,0,,
The gravy that it can still grow and develop as a unique city in the US with a diverse population,0,0,,
The amount of potential and the idea of being able to get around without using a car,0,1,,
"Downtown and inner ring, becoming more dense and walkable. ",0,0,,
The possibility of developing large-city businesses and economy without sacrificing our cityÕs character.,0,0,,
Development of the downtown area to reduce sprawl and congested highways,0,0,,
Better public transportation. Light rail?,1,0,,
"IÕm excited that we are mostly a blue city in a red state, especially since trump is probably coming back. During Covid Our city leaders promoted mask wearing while our governor was the opposite. IÕm excited that we are a compassionate city towards immigrants and provide help to our homeless, to abused women and to animals. Although the city is not doing for these groups, it does some. I like the many parks and green spaces of this city but I dislike the very poor control of speeding and aggressive drivers here. ItÕs stressful and dangerous to drive here and the city does nothing about it ",0,0,,
"In honesty, not too much. But I grew up here and my opinions are not championed because they do not drive a profit. 
I acknowledge the city has done a fantastic job revamping downtown and creating beautiful spaces for tourists but I'm saddened to see the exponential growth of gentrification and displacement of native San Antonians. Our downtown is being bought up by outsiders. While it is shiny and nice, I've noticed I feel less safe downtown now. The cost to come downtown for the day is ridiculous with sky high parking rates. I feel this will another way of segregating an already incredibly segregated city. 
I worry about the sustainability of this unchecked growth. I worry about our aquifer. I worry about the urban sprawl that has crept far beyond 1604 and has removed the natural beauty of our land. Everything is for sale for the right price now. 
What would excite me most about San Antonio is if we stopped to consider the harm being done now that will have an impact in seven generations.",0,0,,
Its forward-thinking government and improvements of living and environment sustainability.,0,0,,
Not sure.,0,0,,
Great mayor and City Manager!,0,0,,
A hopeful optimism about a light rail (similar to DART). New growth in industry especially the public health sector.,1,0,,
The possibility to build it right before the coming population explosion,0,0,,
"We can create a walkable/rideable/wheelable, cleaner/safer transit system, connected to public spaces and places we need to go, that also cools, greens, and enhances our city with nature, improving our health and the health of the city and it's urban environment. City Equity Atlas/Map and SA Climate Action and Adaptation Plan focused. ",1,1,,
fast affordable internet.,1,1,,
Education,0,1,,
"The rate of growth, cant wait to see what it will become in 5 years",0,0,,
the smart management we have in place that can think outside the box to fix issues.,0,0,,
"San Antonio is now offering more opportunities for advanced technology,  engineering and cybersecurity education opportunities to all citizens.",1,1,,
the use and access of technology,1,1,,
I think the consideration of an open dialogue it somewhat unique although I think real changes in the way decisions are voted on and carried out are necessary to avoid only paying lip service to the concept of equity while still overwhelming systems that while good can only be band-aid efforts if the priority is on satisfying the donor class only at the loss of the city as a whole. A city is its people more so than one spectacular group of individuals.,0,0,,
"Blank canvas, limited ""smartness"" so there's lots of room to grow",0,0,,
Seeing San Antonio taking steps to becoming a more advanced City through the support of technology.,1,0,,
it's moving forward,0,0,,
The Spurs moving to Austin!,0,0,,
Nothing at the current moment.,0,0,,
Improvement to Downtown,0,1,,
"After living  and working for the city 28 years, I am enjoying being a tourist in my own city. Looking forward to seeing better public transportation.",1,1,,
New parks,0,1,,
UTSA's growth as a Tier 1 research institution and athletic prowess.,1,0,,
The fact that the air pollution could be fixed by having more of a Ozone Air Days and the public being more well in all areas (not sure what to say),0,0,,
"Very little, honestly.  If the City keeps aligning themselves with social justice, enviro lunacy and wokeism causes and NOT LISTENING or giving fair and equitable treatment to their actual TAXPAYING base, it is not going to be a bright future at all.    ",0,0,,
to continue to have the small town feel in a big town. Also continue to always feel like home.,0,0,,
Growth,0,0,,
addressing climate change,0,0,,
trying to revitalize some of the older neighborhoods.,0,0,,
"The growth and progression. I want to see better public transportation, more small local businesses, and more overall growth of the city. ",0,1,,
The increased focus on education and tech training.,1,1,,
"The ability to grow,  change and improve the city for our children's future ",0,1,,
Transitioning to electric vehicles with new charging stations and green energy.,1,0,,
the development in our communities,0,0,,
More population and development,0,0,,
Affordable home owning,0,1,,
"We, CoSA, care about our residents and city and we are willing to invest to make it better!",0,0,,
That we are still small enough to improve our roads and infrastructure,0,0,,
New leadership that better represents the majority of our residents and the needs of lower income/single parent homes.,0,1,,
The current opportunity to accelerate the closing of the divide in my city and to be a true leader in resiliency and security.,0,1,,
How much our youth can have a say in our future their future if we just ask them,0,0,,
The city's  New found willingness to use various data and technology sources,1,0,,
"As a life long resident, I am very excited about the opportunity to further develop public spaces, such as the parks & trailways.  Also the opportunity to develop public transportation that is fast & convenient.",1,1,,
I am pleased to know that there are so many options for the families of San Antonio can turn to when problems or questions arrive.  And as far as the environment plan its great that you involve the community to help in the areas that they can because it will take everyone's involvement to make this happen and succeed for our future.,0,1,,
